"Institutional Racism","Interconnectedness","Spirituality","Problem-Oriented Coping","Disengagement","Obsessive-Compulsive","Interpersonal Sensitivity","Depression","Anxiety","Somatization"
"Institutional Racism",0,0,0,0,0,0,0,0,0,0
"Interconnectedness",0.06,0,0,0,0,0,0,0,0,0
"Spirituality",0.06,0.40,0,0,0,0,0,0,0,0
"Problem-Oriented Coping",0.02,0.46,0.65,0,0,0,0,0,0,0
"Disengagement",-0.00,0.10,-0.27,0.08,0,0,0,0,0,0
"Obsessive-Compulsive",-0.03,-0.03,0.11,0.01,-0.04,0,0,0,0,0
"Interpersonal Sensitivity",0.09,-0.06,0.18,0.08,-0.02,0.70,0,0,0,0
"Depression",0.14,-0.12,0.06,0.01,-0.05,0.75,0.75,0,0,0
"Anxiety",0.16,-0.11,0.01,0.07,-0.03,0.65,0.60,0.73,0,0
"Somatization",0.12,0.17,0.05,0.02,-0.02,0.71,0.63,0.71,0.70,0
